Variable_1,Variable_2,Value
0: GEN,0: GEN,1.0000004
1: EXO,0: GEN,0.4142521
2: LEV,0: GEN,0.31475684
3: NUM,0: GEN,0.4781543
4: DEU,0: GEN,0.5676791
5: JOS,0: GEN,0.564212
6: JDG,0: GEN,0.60673743
7: RUT,0: GEN,0.80263907
8: 1SA,0: GEN,0.5788565
9: 2SA,0: GEN,0.5915781
10: 1KI,0: GEN,0.5590196
11: 2KI,0: GEN,0.56568044
12: 1CH,0: GEN,0.5089844
13: 2CH,0: GEN,0.560602
14: EZR,0: GEN,0.39791742
15: NEH,0: GEN,0.41474372
16: EST,0: GEN,0.36390382
17: JOB,0: GEN,0.5105742
18: PSA,0: GEN,0.5204879
19: PRO,0: GEN,0.3901432
20: ECC,0: GEN,0.53532666
21: SNG,0: GEN,0.63290966
22: ISA,0: GEN,0.4005207
23: JER,0: GEN,0.5711059
24: LAM,0: GEN,0.5634482
25: EZK,0: GEN,0.5827128
26: DAN,0: GEN,0.451046
27: HOS,0: GEN,0.49325854
28: JOL,0: GEN,0.60638726
29: AMO,0: GEN,0.5778674
30: OBA,0: GEN,0.7019653
31: JON,0: GEN,0.7101636
32: MIC,0: GEN,0.6131043
33: NAM,0: GEN,0.6538607
34: HAB,0: GEN,0.6275464
35: ZEP,0: GEN,0.64724445
36: HAG,0: GEN,0.6304655
37: ZEC,0: GEN,0.6194334
38: MAL,0: GEN,0.67926705
54: MAT,0: GEN,0.5565959
55: MRK,0: GEN,0.51682985
56: LUK,0: GEN,0.64635193
57: JHN,0: GEN,0.5674152
58: ACT,0: GEN,0.43033403
59: ROM,0: GEN,0.41705698
60: 1CO,0: GEN,0.33601412
61: 2CO,0: GEN,0.46280515
62: GAL,0: GEN,0.6136064
63: EPH,0: GEN,0.4606811
64: PHP,0: GEN,0.5686358
65: COL,0: GEN,0.5115795
66: 1TH,0: GEN,0.60914123
67: 2TH,0: GEN,0.6385274
68: 1TI,0: GEN,0.5045198
69: 2TI,0: GEN,0.58632326
70: TIT,0: GEN,0.5918988
71: PHM,0: GEN,0.6582609
72: HEB,0: GEN,0.48868623
73: JAS,0: GEN,0.5710131
74: 1PE,0: GEN,0.53287005
75: 2PE,0: GEN,0.6249868
76: 1JN,0: GEN,0.5952809
77: 2JN,0: GEN,0.6772102
78: 3JN,0: GEN,0.66662556
79: JUD,0: GEN,0.63435256
80: REV,0: GEN,0.35352266
0: GEN,1: EXO,0.4142521
1: EXO,1: EXO,0.9999997
2: LEV,1: EXO,0.52197874
3: NUM,1: EXO,0.5886725
4: DEU,1: EXO,0.69803566
5: JOS,1: EXO,0.60908115
6: JDG,1: EXO,0.5951103
7: RUT,1: EXO,0.6980662
8: 1SA,1: EXO,0.6468896
9: 2SA,1: EXO,0.6645615
10: 1KI,1: EXO,0.5551799
11: 2KI,1: EXO,0.640984
12: 1CH,1: EXO,0.476531
13: 2CH,1: EXO,0.5249988
14: EZR,1: EXO,0.62120545
15: NEH,1: EXO,0.53782135
16: EST,1: EXO,0.6116498
17: JOB,1: EXO,0.47320628
18: PSA,1: EXO,0.48191628
19: PRO,1: EXO,0.40758288
20: ECC,1: EXO,0.59752494
21: SNG,1: EXO,0.4950831
22: ISA,1: EXO,0.4762407
23: JER,1: EXO,0.566972
24: LAM,1: EXO,0.6113849
25: EZK,1: EXO,0.58964115
26: DAN,1: EXO,0.5096008
27: HOS,1: EXO,0.5990703
28: JOL,1: EXO,0.68498313
29: AMO,1: EXO,0.685902
30: OBA,1: EXO,0.7345561
31: JON,1: EXO,0.7506308
32: MIC,1: EXO,0.68966264
33: NAM,1: EXO,0.6611339
34: HAB,1: EXO,0.645964
35: ZEP,1: EXO,0.7109164
36: HAG,1: EXO,0.7566723
37: ZEC,1: EXO,0.6846723
38: MAL,1: EXO,0.6861319
54: MAT,1: EXO,0.5240378
55: MRK,1: EXO,0.55491716
56: LUK,1: EXO,0.49391195
57: JHN,1: EXO,0.49610552
58: ACT,1: EXO,0.5081843
59: ROM,1: EXO,0.35107496
60: 1CO,1: EXO,0.47429743
61: 2CO,1: EXO,0.4058397
62: GAL,1: EXO,0.45794016
63: EPH,1: EXO,0.39007547
64: PHP,1: EXO,0.4909015
65: COL,1: EXO,0.4667869
66: 1TH,1: EXO,0.6423961
67: 2TH,1: EXO,0.64136475
68: 1TI,1: EXO,0.5139666
69: 2TI,1: EXO,0.57523483
70: TIT,1: EXO,0.62878406
71: PHM,1: EXO,0.6437015
72: HEB,1: EXO,0.48427364
73: JAS,1: EXO,0.59560335
74: 1PE,1: EXO,0.5284315
75: 2PE,1: EXO,0.64088035
76: 1JN,1: EXO,0.55999124
